text,label
"Отличный продукт, очень доволен покупкой!",positive
"Замечательный сервис, рекомендую всем!",positive
"Прекрасное качество, превзошло ожидания",positive
"Всё супер, буду заказывать ещё",positive
"Великолепно! Лучшее что я пробовал",positive
"Очень понравилось, спасибо за отличную работу",positive
"Быстрая доставка, качественный товар",positive
"Идеально подошло, счастлив покупкой",positive
"Превосходный результат, всем советую",positive
"Шикарно! Не ожидал такого качества",positive
"Excellent product, highly recommend!",positive
"Amazing quality, exceeded expectations",positive
"Love it! Best purchase ever",positive
"Great service, very satisfied",positive
"Wonderful experience, will buy again",positive
"Perfect! Exactly what I needed",positive
"Outstanding quality and fast delivery",positive
"Brilliant product, worth every penny",positive
"Ужасное качество, полное разочарование",negative
"Не работает, деньги на ветер",negative
"Очень плохо, не рекомендую никому",negative
"Кошмар, худшая покупка в моей жизни",negative
"Отвратительный сервис, никогда больше",negative
"Сломалось через день, полный брак",negative
"Обман, не соответствует описанию",negative
"Жалею о покупке, выброшенные деньги",negative
"Разочарован качеством, ожидал лучшего",negative
"Terrible quality, complete waste of money",negative
"Horrible experience, never again",negative
"Doesn't work at all, very disappointed",negative
"Worst purchase ever, total scam",negative
"Broken on arrival, awful product",negative
"Do not buy, complete garbage",negative
"Waste of time and money",negative
"Disgusting quality, stay away",negative
"Обычный товар, ничего особенного",neutral
"Нормально, соответствует цене",neutral
"Средне, есть и плюсы и минусы",neutral
"Ожидал большего, но в целом сойдёт",neutral
"Неплохо, но есть куда расти",neutral
"Average product, nothing special",neutral
"It's okay, gets the job done",neutral
"Fair quality for the price",neutral
"Neither good nor bad, just meh",neutral
"Decent enough, no complaints",neutral
